6#实际给料量,6#干燥炉排一段下漏渣溜管A温度,6#干燥炉排二段下漏渣溜管C温度,6#炉二次风电动调节门（后壁侧）,6#炉排烟SO2小时实时均值,6#炉活性炭流量累计,6#炉点火燃烧器A天然气压力,6#炉点火燃烧器B天然气压力,6#炉白班主汽流量,6#炉省煤器旁路烟气调节风门位置,6#炉省煤器灰斗出口烟气温度,6#炉粉尘折算小时均值,6#炉粉尘折算日均值,6#焚烧炉膛前温度,6#预计焚烧量
171.25461,144.13057,172.75023,10.041667,9.245873,2.66,250.94908,259.07407,494.91718,15.868055,208.51924,1.0960526,1.2568284,955.03705,406.3584
171.25461,144.13057,172.9391,10.034722,9.234542,2.66,250.94908,259.07407,495.04153,15.868055,208.51924,1.0960526,1.2568284,954.9422,406.3584
171.25461,144.31631,172.65578,10.041667,9.22275,2.66,250.94908,259.07407,495.16837,15.884259,208.49197,1.0960526,1.2568284,955.03705,406.3584
171.25461,144.4092,172.65578,10.048612,9.211694,2.66,250.94908,259.16666,495.28793,15.8773155,208.49197,1.0960526,1.2568284,955.22687,406.3584
171.25461,144.31631,172.65578,10.048612,9.200414,2.66,250.94908,259.07407,495.41263,15.875,208.49197,1.0960526,1.2568284,955.03705,406.3584
171.25461,144.31631,172.75023,10.048612,9.189218,2.66,250.87961,259.07407,495.53986,15.8773155,208.49197,1.0960526,1.2568284,955.03705,406.3584
171.25461,144.31631,172.75023,10.027779,9.178288,2.66,250.94908,259.07407,495.6646,15.86574,208.49197,1.0960526,1.2568284,955.03705,406.3584
171.25461,144.31631,173.03354,10.048612,9.167118,2.66,250.87961,259.0046,495.79184,15.861111,208.47835,1.0960526,1.2568284,955.03705,406.3584
171.25461,144.4092,172.75023,9.997685,9.156944,2.66,250.94908,259.07407,495.91156,15.8773155,208.47835,1.0960526,1.2568284,955.22687,406.3584
171.25461,144.4092,172.75023,10.0,9.146541,2.66,250.87961,259.07407,496.03876,15.868055,208.47835,1.0960526,1.2568284,955.03705,406.3584
171.25461,144.4092,172.46687,10.034722,9.13684,2.66,250.87961,259.0046,496.16345,15.858796,208.47835,1.0960526,1.2568284,954.9422,406.3584
171.25461,144.03772,173.03354,10.034722,9.127231,2.66,250.94908,259.0046,496.2905,15.875,208.47835,1.0960526,1.2568284,954.8472,406.3584
